"","Latitude","Longitude","riskFactor"
"191",32.37419,-95.01584,0.51877948403006
"193",31.041517,-99.2428,0.600724943677236
"194",31.8862,-103.66984,0.546431933332299
"195",31.845839,-103.64588,0.546431933332299
"196",31.71231,-103.02283,0.331230601819954
"201",32.043373,-94.31516,0.221287346441177
"203",30.684319,-95.72462,0.51877948403006
"204",26.42391,-97.78517,0.546431933332299
"206",32.96658,-96.64099,0.546431933332299
"207",31.760159,-97.10438,0.491011512786154
"208",33.4229,-101.64834,0.600724943677236
"210",26.546774,-98.66961,0.491011512786154
"218",31.748697,-94.23494,0.546431933332299
"222",30.173094,-95.4262,0.491011512786154
"226",29.953623,-97.67388,0.463298894225875
"232",31.056118,-104.57759,0.463298894225875
"234",29.731853,-95.73882,0.652650173030767
"242",29.433807,-96.02293,0.283971373533983
"243",30.136602,-96.336044,0.382157140201564
"244",34.06938,-99.007645,0.546431933332299
"246",31.179775,-101.396965,0.600724943677236
"248",28.34652,-96.926704,0.723930386003468
"251",34.348858,-102.30411,0.677393702038177
"252",31.915827,-106.58303,0.185366666905418
"253",32.512756,-98.37846,0.491011512786154
"256",31.751131,-94.227066,0.51877948403006
"261",29.70132,-95.75794,0.652650173030767
"272",32.826626,-96.24595,0.546431933332299
"277",28.960505,-97.99441,0.546431933332299
"278",29.339443,-98.62494,0.51877948403006
"281",31.899065,-104.79565,0.600724943677236
"288",27.551523,-97.810844,0.600724943677236
"289",29.84014,-94.69564,0.435811145976358
"294",33.052082,-96.829926,0.356287690447798
"297",28.09413,-97.81095,0.51877948403006
"301",28.110945,-97.02669,0.408712314356587
"304",32.445183,-99.6777,0.261930687427986
"305",32.435932,-99.625,0.491011512786154
"312",32.25968,-94.62413,0.745575692894066
"321",31.253487,-94.76519,0.546431933332299
"322",34.42672,-102.30414,0.408712314356587
"332",32.01637,-94.724174,0.627053697989525
"349",26.192299,-97.87855,0.51877948403006
"354",29.68888,-95.65769,0.627053697989525
"357",28.112268,-97.81931,0.600724943677236
"360",31.059,-104.53757,0.491011512786154
"362",31.044697,-104.77594,0.677393702038177
"365",29.32723,-98.71739,0.491011512786154
"367",29.32826,-98.74403,0.221287346441177
"380",29.646242,-96.39304,0.491011512786154
"381",26.246593,-98.34507,0.51877948403006
"388",32.95501,-94.6695,0.463298894225875
"394",33.027905,-96.9294,0.546431933332299
"400",32.49884,-98.52307,0.408712314356587
"401",34.05168,-98.967255,0.185366666905418
"403",28.112513,-97.819305,0.573800813567259
"404",32.15263,-95.11019,0.331230601819954
"406",30.393969,-99.62162,0.677393702038177
"408",30.529978,-94.014366,0.677393702038177
"412",33.027924,-96.92935,0.573800813567259
"414",26.313425,-98.276665,0.573800813567259
"415",34.636387,-102.40506,0.546431933332299
"418",26.172703,-98.0028,0.573800813567259
"419",26.344723,-98.74653,0.463298894225875
"420",29.650867,-98.04212,0.491011512786154
"421",29.022533,-95.88468,0.382157140201564
"429",32.33206,-98.82904,0.51877948403006
"437",30.222443,-95.65795,0.463298894225875
"440",30.792866,-96.50152,0.677393702038177
"441",26.289248,-98.344215,0.382157140201564
"444",30.702852,-99.18158,0.573800813567259
"455",29.238314,-98.25746,0.435811145976358
"457",27.538403,-97.83143,0.627053697989525
"458",35.014183,-101.94963,0.11547897319661
"463",26.330393,-98.3063,0.283971373533983
"464",32.404144,-99.4309,0.627053697989525
"465",29.712765,-99.71718,0.435811145976358
"466",29.962353,-97.74022,0.600724943677236
"468",33.000553,-96.75555,0.185366666905418
"471",26.390995,-98.85462,0.701181638809626
"473",30.65646,-99.10704,0.677393702038177
"475",30.56668,-100.54449,0.573800813567259
"476",33.175747,-96.83972,0.51877948403006
"481",29.965439,-94.230804,0.51877948403006
"482",29.957817,-94.23851,0.382157140201564
"484",29.174557,-95.252594,0.491011512786154
"489",31.71598,-103.00943,0.51877948403006
"491",26.138203,-98.176926,0.546431933332299
"493",33.036785,-97.00027,0.408712314356587
"494",30.299925,-99.316574,0.652650173030767
"498",29.459562,-95.41966,0.546431933332299
"504",32.449505,-99.66093,0.491011512786154
"508",29.953297,-95.399994,0.463298894225875
"509",29.16963,-95.26425,0.677393702038177
"511",30.572384,-100.583725,0.546431933332299
"513",31.714743,-98.87418,0.435811145976358
"514",31.712996,-98.86928,0.382157140201564
"516",27.94461,-97.58719,0.202734394978755
"523",26.377176,-98.77157,0.627053697989525
"527",29.463947,-95.08927,0.283971373533983
"530",32.57004,-99.79509,0.600724943677236
"531",30.186733,-96.56909,0.51877948403006
"532",30.705544,-101.205124,0.435811145976358
"533",30.848043,-96.559654,0.677393702038177
"535",30.82493,-95.06677,0.283971373533983
"545",30.29162,-97.72205,0.185366666905418
"547",33.14754,-97.05645,0.491011512786154
"552",30.209948,-97.11158,0.261930687427986
"555",30.68933,-95.18511,0.573800813567259
"560",29.775122,-98.03774,0.221287346441177
"566",32.826496,-94.951965,0.546431933332299
"578",28.098568,-97.552826,0.51877948403006
"579",27.973566,-97.38772,0.51877948403006
"581",29.800901,-97.79639,0.51877948403006
"583",29.653177,-97.5927,0.463298894225875
"587",26.273682,-98.20469,0.491011512786154
"588",26.274223,-98.20825,0.435811145976358
"589",26.273977,-98.20594,0.627053697989525
"594",27.941563,-97.54187,0.546431933332299
"595",28.028423,-97.51671,0.627053697989525
"600",27.57592,-97.66762,0.307095033663071
"601",27.575804,-97.670265,0.463298894225875
"602",31.00759,-96.70136,0.408712314356587
"605",28.044441,-97.289536,0.627053697989525
"609",30.689848,-101.40734,0.408712314356587
"615",26.274057,-98.206764,0.600724943677236
"624",32.967655,-94.71005,0.573800813567259
"627",30.568373,-97.77681,0.546431933332299
"632",32.247673,-94.216095,0.491011512786154
"638",29.811474,-98.00346,0.241024861412633
"639",29.76784,-98.04286,0.241024861412633
"651",27.808315,-97.79563,0.546431933332299
"652",28.287548,-98.11384,0.652650173030767
"663",29.921576,-97.89364,0.307095033663071
"666",30.167118,-95.45066,0.51877948403006
"669",29.65431,-97.57153,0.51877948403006
"670",29.654394,-97.581696,0.261930687427986
"671",29.654358,-97.574196,0.283971373533983
"686",29.14311,-95.60338,0.463298894225875
"711",28.094225,-97.810974,0.51877948403006
"721",25.986643,-97.52015,0.307095033663071
"723",25.988054,-97.51999,0.51877948403006
"726",32.588192,-97.42388,0.435811145976358
"731",28.30438,-98.11364,0.382157140201564
"735",33.003193,-96.9683,0.356287690447798
"755",26.16063,-97.85583,0.627053697989525
"759",30.38046,-103.54569,0.677393702038177
"765",29.653288,-97.59182,0.546431933332299
"766",32.87214,-97.867294,0.600724943677236
"769",29.406927,-98.577255,0.356287690447798
"775",32.34969,-95.24697,0.435811145976358
"777",33.363907,-96.43539,0.627053697989525
"778",29.2842,-98.06826,0.573800813567259
"785",31.09521,-99.3272,0.0696866060676717
"792",29.57736,-95.38669,0.185366666905418
"796",27.980928,-97.55565,0.652650173030767
"798",31.911898,-106.58255,0.356287690447798
"801",31.059418,-102.79472,0.652650173030767
"802",32.093407,-94.48719,0.408712314356587
"807",29.654446,-97.576485,0.435811145976358
"808",28.147034,-97.846115,0.435811145976358
"816",29.600122,-97.549934,0.331230601819954
"817",29.64931,-97.49113,0.140187250427471
"822",33.568916,-97.88727,0.627053697989525
"826",27.808226,-97.79602,0.546431933332299
"832",31.650303,-103.68109,0.652650173030767
"833",32.455494,-95.29995,0.546431933332299
"834",32.455494,-95.29995,0.546431933332299
"841",27.923676,-97.64098,0.463298894225875
"845",30.939102,-102.867004,0.600724943677236
"848",26.195564,-98.27969,0.241024861412633
"853",26.26408,-98.26001,0.408712314356587
"859",32.513287,-94.51955,0.573800813567259
"863",32.46598,-100.588066,0.677393702038177
"865",26.251617,-98.057465,0.185366666905418
"869",32.51267,-94.52402,0.307095033663071
"871",30.486914,-96.17667,0.546431933332299
"881",32.46113,-95.62452,0.356287690447798
"887",26.004427,-97.52996,0.627053697989525
"888",25.942074,-97.50328,0.652650173030767
"889",31.183903,-99.42769,0.491011512786154
"895",30.02208,-95.38859,0.408712314356587
"900",27.599245,-98.09144,0.408712314356587
"906",33.483627,-101.92258,0.185366666905418
"919",26.187363,-97.76577,0.652650173030767
"930",29.981792,-95.40665,0.463298894225875
"932",29.416964,-95.426895,0.408712314356587
"951",26.291725,-98.28854,0.435811145976358
"968",32.452377,-99.6653,0.573800813567259
"969",27.91921,-97.63814,0.573800813567259
"974",27.518688,-97.841095,0.307095033663071
"978",30.592228,-97.58475,0.677393702038177
"981",32.851162,-96.812935,0.221287346441177
"982",33.01292,-96.807,0.491011512786154
"986",29.649452,-97.4852,0.51877948403006
"990",26.170193,-97.808365,0.627053697989525
"992",30.483461,-96.17319,0.463298894225875
"996",32.063908,-94.74581,0.463298894225875
"998",32.477615,-98.61505,0.331230601819954
"1000",25.981213,-97.519104,0.408712314356587
"1007",32.87179,-97.86747,0.546431933332299
"1018",26.183773,-97.78239,0.382157140201564
"1021",26.258377,-98.349625,0.573800813567259
"1025",32.583694,-94.68939,0.573800813567259
"1036",30.73922,-96.4423,0.627053697989525
"1037",30.547173,-96.24497,0.627053697989525
"1039",27.979288,-97.55695,0.677393702038177
"1041",32.851097,-96.81285,0.221287346441177
"1045",26.195055,-98.28228,0.546431933332299
"1057",30.42965,-95.494545,0.546431933332299
"1073",30.552652,-96.249916,0.677393702038177
"1084",33.012257,-96.825386,0.356287690447798
"1085",32.998688,-96.76813,0.573800813567259
"1092",26.184216,-98.071045,0.408712314356587
"1096",31.400015,-102.34604,0.0696866060676717
"1098",32.56689,-94.31136,0.382157140201564
"1106",32.1724,-95.45246,0.463298894225875
"1107",32.828583,-94.812904,0.356287690447798
"1109",33.094864,-96.813255,0.573800813567259
"1112",26.181828,-98.05816,0.154122802448314
"1113",31.401966,-96.036385,0.677393702038177
"1114",31.35832,-96.01544,0.491011512786154
"1116",32.4886,-97.67291,0.677393702038177
"1119",33.06767,-97.24169,0.356287690447798
"1121",26.14135,-97.58777,0.701181638809626
"1122",26.12596,-97.518394,0.600724943677236
"1132",32.378418,-99.25777,0.408712314356587
"1136",35.24605,-102.44648,0.463298894225875
"1138",30.213583,-95.456535,0.546431933332299
"1140",30.226475,-95.52769,0.546431933332299
"1141",33.258423,-97.14245,0.491011512786154
"1143",33.477074,-97.79142,0.491011512786154
"1144",33.87356,-98.49418,0.408712314356587
"1147",32.2918,-97.580666,0.307095033663071
"1148",32.27638,-97.6425,0.600724943677236
"1149",32.616837,-95.314995,0.546431933332299
"1150",32.617218,-95.31652,0.652650173030767
"1153",31.182602,-101.407295,0.652650173030767
"1156",28.112158,-97.8176,0.546431933332299
"1157",28.131102,-97.83281,0.463298894225875
"1158",28.127295,-97.82952,0.356287690447798
"1160",26.201048,-97.95938,0.356287690447798
"1164",30.710564,-94.93135,0.627053697989525
"1165",32.483322,-97.681465,0.652650173030767
"1168",30.891157,-102.8111,0.627053697989525
"1171",33.10811,-97.475266,0.51877948403006
"1172",30.736795,-98.446465,0.573800813567259
"1175",28.653301,-97.04644,0.408712314356587
"1176",28.983255,-95.995476,0.627053697989525
"1178",30.310837,-95.10743,0.573800813567259
"1180",30.308142,-95.109505,0.600724943677236
"1181",26.156101,-98.11472,0.283971373533983
"1182",29.370916,-94.99858,0.140187250427471
"1184",31.718212,-95.69851,0.600724943677236
"1185",30.236673,-94.02173,0.51877948403006
"1186",30.36501,-94.06121,0.491011512786154
"1190",30.0542,-95.70689,0.546431933332299
"1191",27.858202,-97.35112,0.408712314356587
"1193",27.87925,-97.320694,0.408712314356587
"1194",32.29884,-95.41221,0.154122802448314
"1195",33.25443,-96.62168,0.51877948403006
"1196",31.055847,-104.58165,0.408712314356587
"1205",33.149185,-95.44429,0.627053697989525
"1206",33.1662,-95.36188,0.652650173030767
"1208",33.125023,-97.48924,0.677393702038177
"1209",33.01499,-97.43997,0.600724943677236
"1210",33.00536,-97.436226,0.546431933332299
"1214",32.08991,-94.49505,0.677393702038177
"1215",33.054127,-97.249245,0.627053697989525
"1216",34.838276,-101.84881,0.546431933332299
"1217",34.769173,-101.848885,0.573800813567259
"1218",28.12948,-97.83138,0.435811145976358
"1219",31.481012,-106.13341,0.600724943677236
